trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,value
45,7240,1.0,0.27,34343,0.00019600469815509003,256,256,9.583071482218034e-06,3700,0.75,0.961,0.066,0.9741241223711011,77.33842371537463
46,8827,0.4,0.27,35398,0.0005084178593689268,512,256,6.1829926319890575e-06,4100,0.75,0.966,0.066,0.9698122614708616,78.70633238212979
47,7833,0.30000000000000004,0.27,34737,0.0005550200736147854,256,256,9.92619257852438e-06,3900,0.7899999999999999,0.976,0.064,0.9703548315675499,77.04373030071302
48,7913,0.4,0.27,35246,0.0006827556513467547,256,256,6.571131283284577e-06,4000,0.7899999999999999,0.976,0.063,0.9701644705801474,78.34265964071997
49,7380,0.4,0.27,34710,0.0005371392899455685,256,256,4.242199421633387e-06,4100,0.7899999999999999,0.98,0.063,0.9704298921218268,78.55956241035432
50,8260,0.4,0.31,5929,0.000545892828110748,1024,256,4.454267844311013e-06,4000,0.71,0.981,0.063,0.9701237467345363,78.5661958730567
51,11706,0.6000000000000001,0.53,6117,0.0005995771586828175,1024,512,4.1098135874083955e-06,3000,0.7899999999999999,0.979,0.063,0.9626237544020682,78.65584775700259
52,14540,0.6000000000000001,0.31,17558,0.0006513420386785613,1024,512,4.297288803735418e-06,3000,0.71,0.981,0.071,0.9624229442738996,77.81682478359258
53,12830,0.6000000000000001,0.51,5895,0.0008117132219152656,1024,512,4.370382827185197e-06,1500,0.71,0.982,0.061,0.9629800157622419,79.24746329949843
54,13989,0.6000000000000001,0.31,10956,0.0008481742814991416,1024,512,1.1646646081153875e-06,3000,0.71,0.981,0.071,0.9627562108400437,78.34623750791505
55,31820,0.8,0.53,19742,0.0030096002122876457,1024,1024,3.082503231533605e-06,3100,0.7799999999999999,0.973,0.074,0.9690179863427465,78.66196170480785
56,33528,0.8,0.31,17963,0.007277748201823233,1024,1024,1.2194514466504226e-06,2500,0.7799999999999999,0.972,0.074,0.9692546000966057,79.21224412480431
57,20691,0.8,0.25,55116,0.003021502449649932,1024,1024,1.598494232658103e-06,2500,0.7799999999999999,0.972,0.074,0.9692874118651105,77.58967317992077
58,20219,0.8,0.5,7997,0.0008414146544293674,1024,512,2.991574679950397e-06,1600,0.72,0.988,0.061,0.9613782674030831,78.74140477793517
59,30562,0.8,0.45999999999999996,8472,0.002548000771886959,1024,512,4.823976483375675e-06,1800,0.74,0.988,0.061,0.9612203659814726,78.8220226320431
60,54301,0.8,0.45,7347,0.0007918482117713886,1024,512,4.826164597491212e-06,1700,0.72,0.987,0.061,0.960870097286286,78.71605637315608
61,20078,0.8,0.45,8517,0.00674097824894486,1024,512,1.1954077842169005e-06,1300,0.72,0.982,0.074,0.9673176828752692,76.88249334398559
62,26831,0.8,0.48,8300,0.006839501391371223,1024,512,1.19760924989195e-06,1600,0.72,0.982,0.061,0.9673901474582038,78.07761183702077
63,53776,0.8,0.36,7185,0.006851896099357555,1024,512,1.2265942060680127e-06,2000,0.72,0.988,0.069,0.9673408952683821,78.30658749446636
64,11608,0.5,0.36,12972,0.004352701428144398,1024,512,1.167855227142594e-06,1200,0.72,0.975,0.074,0.9673653032487581,78.6540253307844
65,26605,0.9000000000000001,0.3,12543,0.0012917522635959985,1024,1024,5.890272337275473e-06,1400,0.7799999999999999,0.982,0.069,0.9670571834954442,79.09646976628761
66,26055,0.9000000000000001,0.36,14199,0.00437386530166096,512,1024,5.713739251100194e-06,2100,0.7799999999999999,0.983,0.067,0.9675459343093449,78.3375004588393
67,6690,0.9000000000000001,0.36,13565,0.004607071211032973,512,1024,5.950751198086159e-06,1300,0.7799999999999999,0.969,0.069,0.971040332867256,78.77884005355475
