trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,n_layers,hidden_size,activation,gamma,gae_lambda,use_target_kl,reward_weight_demand,reward_weight_rebalancing,reward_weight_gini,value
13,2.9256147816770243e-06,512,32,0.144,5.5642507714276e-05,0.498,2,128,Tanh,0.926,0.895,0.01,0.6,1.3,0.0,227.6133976
14,2.9736697025914484e-06,512,32,0.185,4.5819810047308835e-05,0.549,2,128,Tanh,0.937,0.905,0.02,0.6,1.3,0.07,224.85752499999998
15,2.5026585937034607e-06,512,32,0.147,0.00014213472668469138,0.48100000000000004,2,128,Tanh,0.928,0.907,0.01,0.6,1.2000000000000002,0.05,223.9133558
16,4.892539382627076e-06,512,32,0.185,0.0002852062937555484,0.545,2,128,Tanh,0.9410000000000001,0.906,0.01,0.5,1.4000000000000001,0.0,232.44125560000003
17,4.934261732733555e-06,512,32,0.191,0.0003164013149411466,0.546,3,128,Tanh,0.9410000000000001,0.908,0.01,0.5,1.4000000000000001,0.02,231.5074994
18,4.7570840865183535e-06,512,32,0.187,0.0003379609382395542,0.591,3,128,Tanh,0.9420000000000001,0.912,0.02,0.5,1.4000000000000001,0.09,228.48430860000002
19,3.729882403166243e-06,512,32,0.182,0.0002590486397287867,0.542,3,128,Tanh,0.9410000000000001,0.914,0.01,0.5,1.4000000000000001,0.02,231.5138308
20,3.750274348966899e-06,512,32,0.238,0.0005461804436029164,0.43300000000000005,3,128,Tanh,0.9410000000000001,0.915,0.01,0.9,1.5,0.2,216.32009639999995
21,4.825623231805557e-06,512,32,0.182,0.0002656929264107951,0.55,3,128,Tanh,0.9410000000000001,0.904,0.01,0.5,1.4000000000000001,0.02,231.4947482
22,3.6871877818727934e-06,512,32,0.199,0.00010466245301622579,0.544,3,128,Tanh,0.9450000000000001,0.913,0.01,0.5,1.4000000000000001,0.03,231.20517239999998
