trial,seed,configuration,manual_rebalancing,incentive_rebalancing,fleet_size,mean_satisfied_ratio,mean_rebalanced_vehicles_manually,mean_rebalanced_vehicles_incentives,max_satisfied_ratio,min_satisfied_ratio,mean_gini_index
8,44131,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
8,44131,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
8,44131,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
8,44131,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
8,44131,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
9,60263,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
9,60263,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
9,60263,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
9,60263,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
9,60263,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
9,60263,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
9,60263,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
9,60263,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
9,60263,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
10,16023,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
10,16023,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
10,16023,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
10,16023,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
10,16023,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
10,16023,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
10,16023,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
10,16023,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
10,16023,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
11,41090,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
11,41090,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
11,41090,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
11,41090,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
11,41090,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
11,41090,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
11,41090,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
11,41090,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
11,41090,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
12,67221,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
12,67221,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
12,67221,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
12,67221,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
12,67221,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
12,67221,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
12,67221,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
12,67221,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
12,67221,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
13,64820,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
13,64820,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
13,64820,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
13,64820,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
13,64820,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
13,64820,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
13,64820,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
13,64820,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
13,64820,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
14,769,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
14,769,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
14,769,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
14,769,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
14,769,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
14,769,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
14,769,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
14,769,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
14,769,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
15,59735,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
15,59735,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
15,59735,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
15,59735,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
15,59735,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
15,59735,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
15,59735,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
15,59735,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
15,59735,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
16,62955,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
16,62955,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
16,62955,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
16,62955,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
16,62955,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
16,62955,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
16,62955,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
16,62955,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
16,62955,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
17,64925,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
17,64925,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
17,64925,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
17,64925,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
17,64925,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
17,64925,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
17,64925,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
17,64925,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
17,64925,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
18,67969,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
18,67969,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
18,67969,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
18,67969,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
18,67969,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
18,67969,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
18,67969,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
18,67969,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
18,67969,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
19,5311,HRL_Both_Enabled_900,True,True,900,0.7979263259428058,7.625,10.92,1.0,0.29968253968253966,0.2649202176403207
19,5311,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
19,5311,HRL_Incentive_Only_900,False,True,900,0.6468772588774673,0.0,10.605,1.0,0.19873015873015873,0.44135691103474606
19,5311,HRL_Both_Enabled_600,True,True,600,0.732192201455276,8.1,10.905,1.0,0.22793650793650794,0.3073375715922108
19,5311,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
19,5311,HRL_Incentive_Only_600,False,True,600,0.58303508002098,0.0,10.635,0.9230769230769231,0.15873015873015872,0.4477819301260024
19,5311,HRL_Both_Enabled_1200,True,True,1200,0.8350221594772145,6.9525,10.925,1.0,0.38476190476190475,0.28140803264604813
19,5311,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
19,5311,HRL_Incentive_Only_1200,False,True,1200,0.6870471908792735,0.0,10.66,1.0,0.24444444444444444,0.4305059421534938
